_Headword,English,Type,Class,Conjugation
dídhaoinigh,depopulate,v2b,class10,2
dídhaonnaigh,dehumanize,v2a,class9,2
didhathaigh,decolorize,v2a,class9,2
dídheighil,desegregate,v1fs,class2,1
didhíolaim,disassemble,v2e,class13,2
difhabhtaigh,debug,v2a,class9,2
dífháisc,decompress,v1b,class2,1
dífheidhmigh,render obsolete,v2b,class10,2
dífhoirmigh,deform,v2b,class10,2
dífhoraoisigh,deforest,v2b,class10,2
difhormáidigh,unformat,v2b,class10,2
difhostaigh,disemploy,v2a,class9,2
difhréamhaigh,uproot,v2a,class9,2
dífhuinnmhigh,de-energize,v2b,class10,2
díflhéaraigh,depasture,v2a,class9,2
difreáil,differentiate,v1c,class3,1
difrigh,differ,v2b,class10,2
díghabhsáil,degauss,v1c,class3,1
dighalraigh,disinfect,v2a,class9,2
díghásaigh,degas,v2a,class9,2
dighlasáil,unlock,v1c,class3,1
díghléas,demount,v1a,class1,1
dighniomhaigh,inactivate,v2a,class9,2
díghnlomhachtaigh,dcactivate,v2a,class9,2
dighrádaigh,degrade,v2a,class9,2
díghreamaigh,unstick,v2a,class9,2
díghrúpáil,ungroup,v1c,class3,1
digitigh,digitize,v2b,class10,2
dihiodráitigh,dehydrate,v2b,class10,2
díláithrigh,displace,v2b,class10,2
díláraigh,decentralize,v2a,class9,2
dilasc,disconnect,v1a,class1,1
díleáigh,dissolve,v1d,class5,1
díligh,deluge,v2b,class10,2
díliostáil,unsubscribe,v1c,class3,1
dílódáil,unload,v1c,class3,1
dílogánaigh,delocalize,v2a,class9,2
dílsigh,vest,v2b,class10,2
diluacháii,devalue,v1c,class3,1
díluailigh,immobilize,v2b,class10,2
diluchtaigh,discharge,v2a,class9,2
dímhaighnéadaigh,demagnetize,v2a,class9,2
dimheas,depreciate,v1a,class1,1
dímhiailinigh,demyelinate,v2b,class10,2
dímhíleataigh,demilitarize,v2a,class9,2
dímhíolaigh,disinfest,v2a,class9,2
dímhodhnaigh,demodulate,v2a,class9,2
dímhol,dispraise,v1a,class1,1
dímhonaigh,demonetize,v2a,class9,2
dínádúraigh,denature,v2a,class9,2
dínáisiúnaigh,denationalize,v2a,class9,2
dínasc,unclasp,v1a,class1,1
dínéalaigh,demist,v2a,class9,2
dineartaigh,enfeeble,v2a,class9,2
ding',wedge,v1b,class2,1
ding2,dint,v1b,class2,1
dínítriginigh,denitrify,v2b,class10,2
díobh,extinguish,v1a,class1,1
diobháil,injure,v1c,class3,1
díochlaon,decline,v1a,class1,1
díochnámhaigh,bone,v2a,class9,2
diogáil,dock,v1c,class3,1
díol,sell,v1a,class1,1
díolaim,glean,v2e,class13,2
díolmhaigh,exempt,v2a,class9,2
diolúnaigh,exempt,v2a,class9,2
diomail,waste,v2c,class11,2
dion,protect,v1a,class1,1
díorthaigh,derive,v2a,class9,2
diosc,dissect,v1a,class1,1
diosc,creak,v1a,class1,1
díoscamaigh,creak,v2a,class9,2
diospóid,dispute,v1b,class2,1
díotáil,indict; progress,v1c,class3,1
diotchúisigh,arraign,v2b,class10,2
díothaigh,destroy,v2a,class9,2
dipeáil,dip,v1c,class3,1
diphacáil,unpack,v1c,class3,1
dipháirtigh,part off,v2b,class10,2
díphéac,disbud,v1a,class1,1
díphéistigh,deworm,v2b,class10,2
díphionósaigh,depenalize,v2a,class9,2
díphlugáil,unplug,v1c,class3,1
dípholaraigh,depolarize,v2a,class9,2
díphóraigh,breed out,v2a,class9,2
diphróitéinigh,deproteinize,v2b,class10,2
díraon,diffract,v1a,class1,1
dírátaigh,derate,v2a,class9,2
díréitigh,disarrange,v2b,class10,2
direoigh,defreeze,v1d,class5,1
dírialaigh,decontrol,v2a,class9,2
dírialáil,deregulate,v1c,class3,1
dírigh,straighten,v2b,class10,2
díroghnaigh,deselect,v2a,class9,2
díscaoil,unloose,v1b,class2,1
discigh,dry up,v2b,class10,2
díscoir,unloose,v1b,class2,1
discríobh,write off,v1a,class1,1
díscrios,undelete,v1a,class1,1
díscriúáil,unscrew,v1c,class3,1
díscrobh,unscramble,v1a,class1,1
díshalaigh,decontaminate,v2a,class9,2
dishamhlaigh,dissimilate,v2a,class9,2
díshealbhaigh,evict,v2a,class9,2
díshioc,defrost,v1a,class1,1
díshlóg,demobilize,v1a,class1,1
dishraith,derate,v1b,class2,1
dishrian,decontrol,v1a,class1,1
dishuigh,demount,v1h,class8,1
díshuiteáil,uninstall,v1c,class3,1
dísigh,pair,v2b,class10,2
díslemhúnlaigh,die-cast,v2a,class9,2
disletheilg,die-cast,v1b,class2,1
disligh,dice,v2b,class10,2
díspeag,belittle,v1a,class1,1
díspiceáil,despike,v1c,class3,1
díspreag,deter,v1a,class1,1
distáirseáil,destarch,v1c,class3,1
dístocáil,de-stock,v1c,class3,1
díthiceáil,uncheck,v1c,class3,1
dithiomsaigh,dissociate,v2a,class9,2
dithiuin,detune,v1bx,class4,1
dithneasaigh,hasten,v2a,class9,2
dithochrais,unwind,v1b,class2,1
díthocsainigh,detoxify,v2b,class10,2
díthruailligh,decontaminate,v2b,class10,2
díthuaslagóirigh,desolventize,v2b,class10,2
diúg,drain,v1a,class1,1
diúl,suck,v1a,class1,1
diúltaigh,deny,v2a,class9,2
diúraic,cast,v1bx,class4,1
diurnaigh,drain,v2a,class9,2
diúscair,dispose of,v2c,class11,2
dizipeáil,unzip,v1c,class3,1
dlaoithigh,tress,v2b,class10,2
dligh,deserve,v1h,class8,1
dlisteanaigh,legitimate,v2a,class9,2
dluigh,cleave,v1h,class8,1
dlúthaigh,compact,v2a,class9,2
dóbair,it nearly happened,v5,defective,5
dochraigh,harm,v2a,class9,2
docht,tighten,v1a,class1,1
dóibeáii,daub,v1c,class3,1
