_Headword,English,Type,Class,Conjugation
leabhraigh,extend; swear,v2a,class9,2
leac,stave in,v1a,class1,1
leacaigh,flatten,v2a,class9,2
leachtdealaigh,liquate,v2a,class9,2
leachtiompair,entrain,v2c,class11,2
leadair,smite,v2c,class11,2
leadhb,tear in strips,v1a,class1,1
leadhbair,beat,v2c,class11,2
leadráil,stuff,v1c,class3,1
leáigh,melt,v1d,class5,1
leaindeáil,land,v1c,class3,1
lean,follow,v1a,class1,1
leang,strike,v1a,class1,1
léarscáiligh,map,v2b,class10,2
léas,welt,v1a,class1,1
leasaigh,amend,v2a,class9,2
léasaigh,lease,v2a,class9,2
léaschóipeáil,beam,v1c,class3,1
leaschraol,relay,v1a,class1,1
leath,spread,v1a,class1,1
leathlíneáil,half-line,v1c,class3,1
leathnaigh,widen,v2a,class9,2
leibhéal,level,v1a,class1,1
leictreachlóigh,electrotype,v1d,class5,1
leictrealaigh,electrolyze,v2a,class9,2
leictreamharaigh,electrocute,v2a,class9,2
leictreaphlátáil,electroplate,v1c,class3,1
leictrigh,electrify,v2b,class10,2
léigh,read,v1e,class6,1
leigheas,heal,v1a,class1,1
léim,jump,v1b,class2,1
leimigh,lemmatize,v2b,class10,2
léirbhreithnigh,review,v2b,class10,2
léirchruthaigh,demonstrate,v2a,class9,2
léirghlan,clarify,v1a,class1,1
léirghoin,wound deeply,v1b,class2,1
léirigh,explain; beat,v2b,class10,2
léirléigh,interpret,v1e,class6,1
léirmhinigh,expound,v2b,class10,2
léirscríobh,engross,v1a,class1,1
léirscrios,devastate,v1a,class1,1
léirshamhlaigh,model,v2a,class9,2
léirsigh,demonstrate,v2b,class10,2
léirsmaoinigh,meditate,v2b,class10,2
leithdháil,allocate,v1b,class2,1
leitheadaigh,spread,v2a,class9,2
leithghabh,appropriate,v1a,class1,1
leithlisigh,isolate,v2b,class10,2
leithreasaigh,appropriate,v2a,class9,2
leithroinn,allot,v1b,class2,1
leithscar,segregate,v1a,class1,1
leon,sprain,v1a,class1,1
leornh,allow,v1a,class1,1
liánaigh,trowel,v2a,class9,2
liath,gray,v1a,class1,1
lig,let,v1b,class2,1
lignigh,lignify,v2b,class10,2
lígh,lick,v1h,class8,1
lindreáil,parge,v1c,class3,1
lineachaigh,linearize,v2a,class9,2
líneáil,line,v1c,class3,1
línigh,line,v2b,class10,2
linseáil,lynch,v1c,class3,1
liobair,tear,v2c,class11,2
liobrálaigh,liberalize,v2a,class9,2
lióifiligh,lyophilize,v2b,class10,2
liomh,grind,v1a,class1,1
líomhain,allege,v2c,class11,2
líon,fill,v1a,class1,1
liongáil,wobble,v1c,class3,1
líonraigh,network,v2a,class9,2
líontánaigh,reticulate,v2a,class9,2
liopáil,lip,v1c,class3,1
liostaigh,list,v2a,class9,2
liostáil,enlist,v1c,class3,1
lipéad,tag,v1a,class1,1
lipéadaigh,label,v2a,class9,2
lisigh,lyse,v2b,class10,2
liteagraf,lithograph,v1a,class1,1
litigh,lithify,v2b,class10,2
litrigh,spell,v2b,class10,2
liúdráil,beat,v1c,class3,1
liúigh,yell,v1d,class5,1
liúr,beat,v1a,class1,1
lobh,rot,v1a,class1,1
loc,pen; pluck,v1a,class1,1
locáil,localize,v1c,class3,1
locair,plane,v2c,class11,2
lochtaigh,fault,v2a,class9,2
lódáil,load,v1c,class3,1
lodair,muddy,v2c,class11,2
lóg,cry,v1a,class1,1
logáil,log,v1c,class3,1
logánaigh,localize,v2a,class9,2
loic,flinch,v1b,class2,1
loighcigh,logicize,v2b,class10,2
loineáil,chum,v1c,class3,1
loingsigh,navigate,v2b,class10,2
loisc,bum,v1b,class2,1
lóisteáil,lodge,v1c,class3,1
loit,hurt,v1b,class2,1
lom,lay bare,v1a,class1,1
lomair,shear,v2c,class11,2
lomlion,fill to capacity,v1a,class1,1
lomraigh,denude,v2a,class9,2
lónaigh,supply,v2a,class9,2
long,swallow,v1a,class1,1
lonnaigh,stay; become angry,v2a,class9,2
lonnaigh,become angry,v2a,class9,2
lonraigh,shine,v2a,class9,2
lorg,seek,v2f,class13,2
luacháil,value,v1c,class3,1
luachlaghdaigh,depreciate,v2a,class9,2
luachmhéadaigh,appreciate,v2a,class9,2
luaigh,mention,v1d,class5,1
luainigh,move quickly,v2b,class10,2
luaithrigh,sprinkle with ashes,v2b,class10,2
luasc,swing,v1a,class1,1
luascáU,yaw,v1c,class3,1
luasdiailigh,speed-dial,v2b,class10,2
luasghéaraigh,accelerate,v2a,class9,2
luasmhoilligh,decelerate,v2b,class10,2
luathaigh,quicken,v2a,class9,2
luathbhruith,spatchcock,v1b,class2,1
lúb,loop,v1a,class1,1
lúbáil,link,v1c,class3,1
lúcháirigh,rejoice,v2b,class10,2
luchtaigh,charge,v2a,class9,2
lufáil,luff,v1c,class3,1
luigh,lie,v1h,class8,1
luisnigh,blush,v2b,class10,2
lútáil,fawn,v1c,class3,1
macadamaigh,macadamize,v2a,class9,2
macallaigh,echo,v2a,class9,2
macasamhlaigh,reproduce,v2a,class9,2
máchailigh,impair,v2b,class10,2
machnaigh,meditate,v2a,class9,2
maidhm,break,v1bx,class4,1
maígh,state,v1g,class7,1
maighnéadaigh,magnetize,v2a,class9,2
mailéáitigh,maleate,v2b,class10,2
mainicineáil,model,v1c,class3,1
mainnigh,default,v2b,class10,2
mair,live,v1b,class2,1
maircigh,gall,v2b,class10,2
máirseáil,march,v1c,class3,1
maisigh,adom,v2b,class10,2
maistrigh,chum,v2b,class10,2
máistrigh,master,v2b,class10,2
maith,forgive,v1b,class2,1
máithreánaigh,matriculate,v2a,class9,2
máithrigh,mother,v2b,class10,2
malartaigh,exchange,v2a,class9,2
malgamaigh,amalgamate,v2a,class9,2
mallaigh,curse,v2a,class9,2
mámáil,lavish,v1c,class3,1
mantaigh,indent,v2a,class9,2
maoinigh,finance,v2b,class10,2
maoirsigh,oversee,v2b,class10,2
maolaigh,make bare,v2a,class9,2
maolánaigh,buffer,v2a,class9,2
maoscail,wade,v2c,class11,2
maothaigh,soften,v2a,class9,2
maothlaigh,mellow,v2a,class9,2
mapáil,map; mop,v1c,class3,1
maraigh,kill,v2a,class9,2
maranáidigh,marinate,v2b,class10,2
marbhsháinnigh,checkmate,v2b,class10,2
marcaigh,ride,v2a,class9,2
marcáil,mark,v1c,class3,1
margaigh,market,v2a,class9,2
marlaigh,fertilizc with,v2a,class9,2
marmaraigh,marble,v2a,class9,2
marsantaigh,merchandize,v2a,class9,2
martraigh,martyr,v2a,class9,2
masc,mask,v1a,class1,1
maslaigh,insult,v2a,class9,2
matáil,matte,v1c,class3,1
mcalaigh,humble,v2a,class9,2
meabhlaigh,deceive,v2a,class9,2
meabhraigh,remember,v2a,class9,2
méadaigh,increase,v2a,class9,2
méadraigh,metricate,v2a,class9,2
meadráil,mess up,v1c,class3,1
meáigh,balance,v1d,class5,1
meaisínigh,machine,v2b,class10,2
meaitseáil,match,v1c,class3,1
meall,beguile,v1a,class1,1
meallac,saunter,v1a,class1,1
meánaigh,center,v2a,class9,2
meánchoimrigh,syncopate,v2b,class10,2
meang,lop,v1a,class1,1
meanmnaigh,hearten,v2a,class9,2
mear-roghnaigh,fast-select,v2a,class9,2
mearaigh,derange,v2a,class9,2
méaraigh,fínger,v2a,class9,2
mearchas,fast-forward,v1a,class1,1
méarchláraigh,keyboard,v2a,class9,2
meardhiailigh,speed-dial,v2b,class10,2
méarluigh,stop down,v1h,class8,1
mearshábháil,fast-save,v1c,class3,1
mearsheachaid,express,v1bx,class4,1
méartheann,finger-tighten,v1a,class1,1
meas,estimate,v1a,class1,1
measc,mix,v1a,class1,1
measraigh,moderate,v2a,class9,2
measúnaigh,assess,v2a,class9,2
meath,decline,v1a,class1,1
méathaigh,fatten,v2a,class9,2
meathlaigh,decline,v2a,class9,2
meatuairimigh,conjecture,v2b,class10,2
meicnigh,mechanize,v2b,class10,2
meidhrigh,elate,v2b,class10,2
méidnigh,size,v2b,class10,2
meil,grind,v1b,class2,1
meirbhligh,weaken,v2b,class10,2
meirdrigh,prostitute,v2b,class10,2
meirgigh,rust,v2b,class10,2
meirsirigh,mercerize,v2b,class10,2
meirtnigh,weaken,v2b,class10,2
meiteachuardaigh,metasearch,v2a,class9,2
meiteamorfaigh,metamorphose,v2a,class9,2
meitibiligh,metabolize,v2b,class10,2
meitiligh,methylate,v2b,class10,2
mí-cheangail,misconnect,v2c,class11,2
mi-iompair,misbehave,v2c,class11,2
mi-ionramháil,manipulate,v1c,class3,1
mí-oiriúnaigh,mismatch,v2a,class9,2
mí-ordaigh,disorder,v2a,class9,2
mianaigh,desire,v2a,class9,2
mianraigh,mineralize,v2a,class9,2
mianrill,jig,v1b,class2,1
michóirigh,disarrange,v2b,class10,2
michomhairligh,misadvise,v2b,class10,2
míchum,deform,v1a,class1,1
michumasaigh,disable,v2a,class9,2
mídhílsigh,misappropriate,v2b,class10,2
mifhuaimnigh,mispronounce,v2b,class10,2
mílíthigh,discolor,v2b,class10,2
militrigh,misspell,v2b,class10,2
mill,spoil,v1b,class2,1
milleánaigh,blame,v2a,class9,2
millinigh,pelletize,v2b,class10,2
milsigh,sweeten,v2b,class10,2
mim,mime,v1b,class2,1
mímeáil,mime,v1c,class3,1
mimheaitseáil,mismatch,v1c,class3,1
mímheas,misestimate,v1a,class1,1
mimhinigh,misexplain,v2b,class10,2
mímhisnigh,discourage,v2b,class10,2
mímhol,dispraise,v1a,class1,1
mínchaolaigh,feather,v2a,class9,2
mineastráil,administer,v1c,class3,1
mínghlan,refine,v1a,class1,1
minicigh,frequent,v2b,class10,2
mínigh,smooth,v2b,class10,2
mínmheil,grind down,v1b,class2,1
mintírigh,reclaim,v2b,class10,2
miocrónaigh,micronize,v2a,class9,2
míog,cheep,v1a,class1,1
mionaigh,shatter,v2a,class9,2
mionathraigh,modify,v2a,class9,2
mionbhreac,stipple,v1a,class1,1
mionbhrúigh,crumble,v1d,class5,1
mionchoigeartaigh,fine-tune,v2a,class9,2
miondealaigh,analyze,v2a,class9,2
miondíol,retail,v1a,class1,1
mionghearr,shred,v1a,class1,1
mionghoid,pilfer,v1b,class2,1
miongraigh,crumble,v2a,class9,2
mionlaigh,minoritize,v2a,class9,2
mionleasaigh,retouch,v2a,class9,2
mionléirigh,explicate,v2b,class10,2
mionnaigh,swear,v2a,class9,2
mionroinn,comminute,v1b,class2,1
mionsaothraigh,elaborate,v2a,class9,2
mionscag,fine-filter,v1a,class1,1
mionscrúdaigh,examine in detail,v2a,class9,2
mionsonraigh,detail,v2a,class9,2
mionstiall,shred,v1a,class1,1
mionteagasc,brief,v1a,class1,1
miostraigh,menstruate,v2a,class9,2
miotaigh,bite,v2a,class9,2
miotalaigh,metallize,v2a,class9,2
mírialaigh,misrule,v2a,class9,2
miriar,mismanage,v1a,class1,1
mírigh,phrase,v2b,class10,2
mishásaigh,displease,v2a,class9,2
mísheol,misdirect,v1a,class1,1
mishonraigh,misstate,v2a,class9,2
misnigh,encourage,v2b,class10,2
mítéaraigh,miter,v2a,class9,2
míthreoraigh,misdirect,v2a,class9,2
modhnaigh,modulate,v2a,class9,2
modraigh,darken,v2a,class9,2
mogallaigh,mesh,v2a,class9,2
móidigh,vow,v2b,class10,2
moilligh,delay,v2b,class10,2
moirigh,water,v2b,class10,2
moirtísigh,mortise,v2b,class10,2
moirtnigh,mortify,v2b,class10,2
mol,praise,v1a,class1,1
monaplaigh,monopolize,v2a,class9,2
monaraigh,manufacture,v2a,class9,2
monatóirigh,monitor,v2b,class10,2
mór,magnify,v1a,class1,1
morg,corrupt,v1a,class1,1
morgáistigh,mortgage,v2b,class10,2
mótaigh,mulch,v2a,class9,2
mótáil,mulch,v1c,class3,1
mótaraigh,motorize,v2a,class9,2
mothaigh,feel,v2a,class9,2
mothallaigh,tousle,v2a,class9,2
múch,smother,v1a,class1,1
múch-chóireáil,fume,v1c,class3,1
múchghlan,fúmigate,v1a,class1,1
muilleáil,rnill,v1c,class3,1
muimigh,fondle,v2b,class10,2
múin,teach,v1b,class2,1
muinbhuail,overstrike,v1b,class2,1
muinnigh,call,v2b,class10,2
muirearaigh,charge,v2a,class9,2
múirínigh,compost,v2b,class10,2
muirligh,munch,v2b,class10,2
múitseáil,mitch,v1c,class3,1
mulláil,mull,v1c,class3,1
mumaigh,mummify,v2a,class9,2
mún,urinate,v1a,class1,1
mungail,munch,v2c,class11,2
múnlaigh,mold,v2a,class9,2
múr,wall in; raze,v1a,class1,1
múráil,moor,v1c,class3,1
murdaráil,murder,v1c,class3,1
murtallaigh,flat,v2a,class9,2
múscail,wake,v2c,class11,2
náirigh,shame,v2b,class10,2
náisiúnaigh,nationalize,v2a,class9,2
naomhaigh,hallow,v2a,class9,2
naomhainmnigh,canonize,v2b,class10,2
nasc,tie,v1a,class1,1
nasc-ghabh,annex,v1a,class1,1
neadaigh,nest,v2a,class9,2
néalaigh,sublimate,v2a,class9,2
neamhbhailigh,invalidate,v2b,class10,2
neamhchothrornaígh,unbalance,v2a,class9,2
neamhnigh,nullify,v2b,class10,2
neartaigh,strengthen,v2a,class9,2
neas-suigh,juxtapose,v1h,class8,1
neasaigh,approximate,v2a,class9,2
neodraigh,neutralize,v2a,class9,2
niamh,brighten,v1a,class1,1
niamhghlan,bumish,v1a,class1,1
niciligh,nickel,v2b,class10,2
nicilphlátáil,nickel-plate,v1c,class3,1
nigh,wash,v1h,class8,1
nimhigh,poison,v2b,class10,2
nitriginigh,nitrogenize,v2b,class10,2
nocht,bare,v1a,class1,1
nódaigh,graft,v2a,class9,2
nog,nog,v1a,class1,1
normaigh,norm,v2a,class9,2
normalaigh,normalize,v2a,class9,2
nótáil,note,v1c,class3,1
nua-aoisigh,modernize,v2b,class10,2
nuachóirigh,modemize,v2b,class10,2
nuaigh,novate,v1d,class5,1
nuáil,innovate,v1c,class3,1
nuashonraigh,update,v2a,class9,2
núicléataigh,nucleate,v2a,class9,2
nútaigh,nutate,v2a,class9,2
ob,refuse,v1a,class1,1
ócáidigh,use,v2b,class10,2
oclúidigh,occlude,v2b,class10,2
ócraigh,ocher,v2a,class9,2
ocsaídigh,oxidize,v2b,class10,2
ocsaiginigh,oxygenate,v2b,class10,2
odhraigh,darken,v2a,class9,2
ofráil,offer,v1c,class3,1
oibhéartaigh,obvert,v2a,class9,2
oibiachtaigh,objectify,v2a,class9,2
oibiachtúlaigh,objectivize,v2a,class9,2
oibrigh,work,v2b,class10,2
oibriochtaigh,operationaUze,v2a,class9,2
oideasaigh,prescribe,v2a,class9,2
oidhrigh,bequeath,v2b,class10,2
oighrigh,ice,v2b,class10,2
oil,nourish,v1b,class2,1
oiliúnaigh,coach,v2a,class9,2
oimigh,ordain; cut in bits,v2b,class10,2
oir,suit,v1b,class2,1
oirircigh,exalt,v2b,class10,2
oiriúnaigh,fit,v2a,class9,2
oirmhinnigh,honor,v2b,class10,2
oirnéal,decorate,v1a,class1,1
oirthearaigh,orientaUze,v2a,class9,2
oitrigh,shoal,v2b,class10,2
ól,drink,v1a,class1,1
olaigh,oil,v2a,class9,2
olichóirigh,overhaul,v2b,class10,2
ollaigh,enlarge,v2a,class9,2
olldeisigh,overhaul,v2b,class10,2
olltáirg,mass-produce,v1b,class2,1
omáidigh,ornament,v2b,class10,2
omaigh,adom,v2a,class9,2
onnmhairigh,export,v2b,class10,2
onóraigh,honor,v2a,class9,2
optamaigh,optimize,v2a,class9,2
óraigh,gUd,v2a,class9,2
orchraigh,wither,v2a,class9,2
ordaigh,order,v2a,class9,2
orlaigh,sledge,v2a,class9,2
órphlátáil,gold-plate,v1c,class3,1
oscaU,open,v2c,class11,2
osnaigh,sigh,v2a,class9,2
óstáil,host,v1c,class3,1
othrasaigh,ulcerate,v2a,class9,2
ózónaigh,ozonize,v2a,class9,2
pábháil,pave,v1c,class3,1
paca-líon,pack-fill,v1a,class1,1
pacáil,pack,v1c,class3,1
pacáisrigh,package,v2b,class10,2
pailnigh,pollinate,v2b,class10,2
painéal,panel,v1a,class1,1
páirceáil,park,v1c,class3,1
páircéirítigh,parkerize,v2b,class10,2
páirrigh,participate,v2b,class10,2
páisigh,torment,v2b,class10,2
paisteáil,patch,v1c,class3,1
paistéar,pasteurize,v1a,class1,1
paitinnigh,patent,v2b,class10,2
palataigh,palatalize,v2a,class9,2
pánáil,pawn,v1c,class3,1
páráil,pare,v1c,class3,1
paraisiútáil,parachute,v1c,class3,1
parsáil,parse,v1c,class3,1
pasáil,tread; pass,v1c,class3,1
pasáil,pass,v1c,class3,1
péac,sprout,v1a,class1,1
peacaigh,sin,v2a,class9,2
péacaigh,offset,v2a,class9,2
peanáil,pan,v1c,class3,1
pearsanaigh,personate,v2a,class9,2
pearsantaigh,personify,v2a,class9,2
péineáil,peen,v1c,class3,1
péinteáil,paint,v1c,class3,1
peiptísigh,peptize,v2b,class10,2
péireáil,pair,v1c,class3,1
péirseáil,flog,v1c,class3,1
phic,bulge,v1a,class1,1
pian,pain,v1a,class1,1
piardáil,ransack,v1c,class3,1
piarmheasúnaigh,peer-review,v2a,class9,2
pic,pitch,v1b,class2,1
picéadaigh,picket,v2a,class9,2
píceái,peek; pike,v1c,class3,1
picil,piclde,v1b,class2,1
pincigh,push,v2b,class10,2
pingigh,ping,v2b,class10,2
pinseáil,pinch,v1c,class3,1
píob,hoarsen,v1a,class1,1
píobaigh,pipe,v2a,class9,2
pioc,pick,v1a,class1,1
píolótaigh,pilot,v2a,class9,2
pionnáil,pin,v1c,class3,1
pionósaigh,penalize,v2a,class9,2
piopáil,pipe,v1c,class3,1
píoráidigh,pirate,v2b,class10,2
píosáil,patch,v1c,class3,1
pitseáil,pitch,v1c,class3,1
plab,plop,v1a,class1,1
plac,gobble,v1a,class1,1
pláigh,plague,v1d,class5,1
plaistigh,plastify,v2b,class10,2
plánáil,plane,v1c,class3,1
planc,beat,v1a,class1,1
plancghaibhnigh,drop-forge,v2b,class10,2
plandaigh,plant,v2a,class9,2
plandáil,plant; colonize,v1c,class3,1
plástráil,plaster,v1c,class3,1
plátáil,plate,v1c,class3,1
platanaigh,platinize,v2a,class9,2
pléadáil,plead,v1c,class3,1
pleanáil,plan,v1c,class3,1
pléasc,explode,v1a,class1,1
pléatáil,pleat,v1c,class3,1
pléigh,plead,v1e,class6,1
plódaigh,crowd,v2a,class9,2
plucáil,pluck,v1c,class3,1
plúch,smother,v1a,class1,1
plugáil,plug,v1c,class3,1
plúraigh,effloresce,v2a,class9,2
pobalaigh,populate,v2a,class9,2
poc,slink; copulate,v1a,class1,1
pocáil,butt,v1c,class3,1
pocléim,buckjump,v1b,class2,1
podchraol,podcast,v1a,class1,1
podsalaigh,podzolize,v2a,class9,2
póg,kiss,v1a,class1,1
poibligh,publish,v2b,class10,2
póilínigh,police,v2b,class10,2
pointeáil1,point,v1c,class3,1
pointeáil2,fix,v1c,class3,1
poit,poke,v1b,class2,1
póitseáil,poach,v1c,class3,1
polaitigh,politicize,v2b,class10,2
polaraigh,polarize,v2a,class9,2
poll,hole,v1a,class1,1
pollaraigh,poUard,v2a,class9,2
poncaigh,punctuate,v2a,class9,2
poncloisc,cauterize,v1b,class2,1
póraigh,propagate,v2a,class9,2
portaigh,steep,v2a,class9,2
pós,marry,v1a,class1,1
postaigh,post,v2a,class9,2
postáil,post,v1c,class3,1
postaláidigh,postulate,v2b,class10,2
postmharcáil,postmark,v1c,class3,1
potbhiathaigh,spoon-feed,v2a,class9,2
praghsáil,price,v1c,class3,1
práib,daub,v1b,class2,1
pramsáil,prance,v1c,class3,1
prapáil,prepare,v1c,class3,1
prásáil,braze,v1c,class3,1
preab,start,v1a,class1,1
préach,perish,v1a,class1,1
preasáil1,press,v1c,class3,1
preasáil2,press,v1c,class3,1
priáil,marinate,v1c,class3,1
prímeáil,prime,v1c,class3,1
príobháidigh,privatize,v2b,class10,2
prioc,prick,v1a,class1,1
priontáil,print,v1c,class3,1
príosúnaigh,imprison,v2a,class9,2
probháidigh,probate,v2b,class10,2
profaigh,proof,v2a,class9,2
profáil,proofread,v1c,class3,1
próifíligh,profile,v2b,class10,2
próiseáil,process; server,v1c,class3,1
próisigh,process,v2b,class10,2
prólaiféaraigh,proliferate,v2a,class9,2
promh,prove,v1a,class1,1
prúnáil,prune,v1c,class3,1
puc,shuffle,v1a,class1,1
púdraigh,pulverize,v2a,class9,2
púdráil,powder,v1c,class3,1
puinseáil,punch,v1c,class3,1
púitseáil,pouch,v1c,class3,1
pulc,stuff,v1a,class1,1
pumpáil,pump,v1c,class3,1
pupaigh,pupate,v2a,class9,2
purgaigh,purge,v2a,class9,2
púsc,ooze; sweat,v1a,class1,1
rac,hit,v1a,class1,1
racáil,rack,v1c,class3,1
rácáil,rake,v1c,class3,1
rad,throw,v1a,class1,1
radacaigh,radicalize,v2a,class9,2
radaigh,radiate,v2a,class9,2
rádalaigh,imbricate,v2a,class9,2
ráibeáil,spring,v1c,class3,1
raiceáil,wreck,v1c,class3,1
raicéimigh,racemize,v2b,class10,2
raifleáil,raffle,v1c,class3,1
ráinigh,reach,v5,defective,5
raitleáil,rattle,v1c,class3,1
rámhaigh,row,v2a,class9,2
ramhraigh,fatten,v2a,class9,2
rampáil,ramp up,v1c,class3,1
randamaigh,randomize,v2a,class9,2
rangaigh •>,classify,v2a,class9,2
rannpháirtigh,participate,v2b,class10,2
ransaigh,ransack,v2a,class9,2
raonáil,range,v1c,class3,1
rapáil,rap,v1c,class3,1
rásáil,race,v1c,class3,1
raspáil,rasp,v1c,class3,1
rastaraigh,rasterize,v2a,class9,2
rátaigh,rate,v2a,class9,2
rátáil,rate,v1c,class3,1
rathaigh,prosper,v2a,class9,2
ráthaigh,guarantee,v2a,class9,2
rcamhdhearbhaigh,predetermine,v2a,class9,2
réab,tear,v1a,class1,1
reachtaigh,legislate,v2a,class9,2
reáchtáil,run,v1c,class3,1
réadaigh,realize,v2a,class9,2
réadtiomnaigh,devise,v2a,class9,2
réaduchtaigh,reduce,v2a,class9,2
réal,manifest,v1a,class1,1
réalaigh,realize,v2a,class9,2
réamaigh,ream,v2a,class9,2
réamh-mheas,predict,v1a,class1,1
réamhaithris,predict,v2e,class13,2
réamhbheartaigh,premeditate,v2a,class9,2
réamhcheannaigh,preempt,v2a,class9,2
réamhcheap,preconceive,v1a,class1,1
réamhchéimnigh,pre-fade,v2b,class10,2
réamhchinn,predestine,v1b,class2,1
réamhchinntigh,predetermine,v2b,class10,2
réamhchleacht,rehearse,v1a,class1,1
réamhchrap,preshrink,v1a,class1,1
réamhdhátaigh,antedate,v2a,class9,2
réamhdhéan,prefabricate,v1a,class1,1
réamheagraigh,prearrange,v2a,class9,2
réamhfhill,pre-fold,v1b,class2,1
réamhfhioraigh,prefigure,v2a,class9,2
réamhghabh,anticipate,v1a,class1,1
réamhghiorraigh,foreshorten,v2a,class9,2
réamhinis,predict,v2d,class12,2
réamhíoc,prepay,v1a,class1,1
réamhleag,premise,v1a,class1,1
réamhordaigh,predestine,v2a,class9,2
réamhshocraigh,predetermine,v2a,class9,2
réamhshórtáil,presort,v1c,class3,1
réamhtheilg,precast,v1b,class2,1
reang,fudge,v1a,class1,1
réasúnaigh,reason,v2a,class9,2
réchas,twist slowly,v1a,class1,1
reibheáil,rev,v1c,class3,1
reic,sell,v1b,class2,1
réigiúnaigh,regionalize,v2a,class9,2
réimnigh,conjugate,v2b,class10,2
réisigh,span,v2b,class10,2
reith,rut,v1b,class2,1
réitigh,level,v2b,class10,2
rélíon,flush-fill,v1a,class1,1
reoánaigh,frost,v2a,class9,2
reoigh,freeze,v1d,class5,1
reothriomaigh,freeze-dry,v2a,class9,2
réscaip,diffuse,v1b,class2,1
réshiúntáil,flush-joint,v1c,class3,1
réthionlaic,vamp,v1bx,class4,1
rialaigh,rule,v2a,class9,2
rialáil,regulate,v1c,class3,1
riall,rend,v1a,class1,1
rialtaigh,regularize,v2a,class9,2
rianaigh,trace,v2a,class9,2
riar,administer,v1a,class1,1
riastáil,wale,v1c,class3,1
rib,snare,v1b,class2,1
rigeáil,rig,v1c,class3,1
righ,stretch,v1h,class8,1
rígh,enthrone,v1g,class7,1
righnigh,toughen,v2b,class10,2
rill,riddle,v1b,class2,1
rinc,dance,v1b,class2,1
rindreáil,render,v1c,class3,1
rinseáil,rinse,v1c,class3,1
riochtaigh,adapt,v2a,class9,2
ríomh,count,v1a,class1,1
ríomhairigh,computerize,v2b,class10,2
ríomhchláraigh,program,v2a,class9,2
ríonaigh,queen,v2a,class9,2
rionn,carve,v1a,class1,1
ririmghlan,dry-clean,v1a,class1,1
rith,run,v1b,class2,1
ró-shuibscríobh,oversubscribe,v1a,class1,1
ró-ualaigh,overburden,v2a,class9,2
robáil,rob,v1c,class3,1
róbáil,robe,v1c,class3,1
roc,wrinkle,v1a,class1,1
róchaith,overspend,v1b,class2,1
rod,rot,v1a,class1,1
ródáil,anchor,v1c,class3,1
róghearr,overcut,v1a,class1,1
roghnaigh,choose,v2a,class9,2
roinn,divide,v1b,class2,1
rois,unravel,v1b,class2,1
roisfhuaraigh,blast-chill,v2a,class9,2
roisghlan,blast-clean,v1a,class1,1
roisínigh,resin,v2b,class10,2
roisreoigh,blast-freeze,v1d,class5,1
róléigh,overread,v1e,class6,1
roll,roll,v1a,class1,1
rollaigh,enroU,v2a,class9,2
rollóirthriomaigh,roUer-dry,v2a,class9,2
rólódáil,overload,v1c,class3,1
róluathaigh,overspeed,v2a,class9,2
róluchtaigh,overload,v2a,class9,2
rómhair,dig,v2c,class11,2
rómhaosaigh,oversoak,v2a,class9,2
rómharcáil,overmark,v1c,class3,1
rómheas,overestimate,v1a,class1,1
rop,thrust,v1a,class1,1
róreibheáil,overrev,v1c,class3,1
róshealbhaigh,overhold,v2a,class9,2
róshimpligh,oversimpUfy,v2b,class10,2
róst,roast,v1a,class1,1
rótachart,rotovate,v1a,class1,1
rothaigh,cycle,v2a,class9,2
rótharraing,overdraw,v2e,class13,2
rótheann,overtighten,v1a,class1,1
róthéigh,overheat,v1e,class6,1
rothlaigh,rotate,v2a,class9,2
róthochrais,overwind,v1b,class2,1
ruadhóigh,scorch,v1d,class5,1
ruaig,chase,v1b,class2,1
ruaigh,redden,v1d,class5,1
ruaimnigh,redden,v2b,class10,2
rualoisc,scorch,v1b,class2,1
rubaraigh,rubberize,v2a,class9,2
rucáil,ruck,v1c,class3,1
rúisc,bark,v1b,class2,1
ruithnigh,brighten,v2b,class10,2
rúnscriobh,cipher,v1a,class1,1
rútáil,root,v1c,class3,1
sábh,saw,v1a,class1,1
sábháil,save,v1c,class3,1
sac,pack,v1a,class1,1
sacáil,sack,v1c,class3,1
saciomair,scrub,v2c,class11,2
sadhlasaigh,ensUage,v2a,class9,2
sádráil,solder,v1c,class3,1
saibhrigh,enrich,v2b,class10,2
saibhseáil,rummage about,v1c,class3,1
sáigh,thrust,v1d,class5,1
saighid,incite,v1fs,class2,1
saighneáil,sign; shine,v1c,class3,1
saill,salt,v1b,class2,1
sáimhrigh,quieten,v2b,class10,2
sainaithin,identify,v2d,class12,2
saincheadaigh,franchise,v2a,class9,2
saincheap,customize,v1a,class1,1
sainchiallaigh,denote,v2a,class9,2
saineiscigh,prescind,v2b,class10,2
sainfheidhmigh,specialize,v2b,class10,2
sainghreamaigh,paste-special,v2a,class9,2
sainigh,specify,v2b,class10,2
sainmhinigh,define,v2b,class10,2
sáinnigh,comer,v2b,class10,2
sainoidhrigh,entail,v2b,class10,2
sáirsingigh,press,v2b,class10,2
saithigh,swarm,v2b,class10,2
sáithigh,sate,v2b,class10,2
salaigh,dirty,v2a,class9,2
sálaigh,heel,v2a,class9,2
sámhaigh,calm,v2a,class9,2
samhailchomharlhaigh,symbolize,v2a,class9,2
samhaltaigh,model,v2a,class9,2
samhlaigh,imagine,v2a,class9,2
samhraigh,summer,v2a,class9,2
